任务编号,任务名（方便管理),通关获得物品(场景ID:物品:数量:几率@场景ID:物品:数量:几率),指定怪物产出物品(怪物ID:物品:数量:几率@怪物ID:物品:数量:几率),收集指定物品(物品:数量@物品:数量),是否保留任务物品(1保留 0删除),击杀指定怪物(怪物ID:数量@怪物ID:数量),后续任务ID,前续任务ID（用于判定该任务是否可接取）,接取成功时候追加任务（任务接取成功时候）,后续支线任务（主线任务交付成功后可用）,任务天数（7日礼包使用）,接取任务成功时候的引导,交付任务成功时候的引导,接取任务开放功能(变量),交付任务开放功能(变量),是否已经被删除不用,任务比较范围和显示先后,是否接取任务后就可交付,是否可自动接取,是否可自动交付,任务添加先后（支线任务任务追踪使用）,任务追踪显示,可交付时点击交付(非自动交付使用),任务类型,公会任务任务类型（1打败NPC，2搜集物资，3通关场景，4指定地图使用道具，5购买特殊商品）,是否是礼包类任务,任务重复次数,任务等级,接任务NPC（游戏中唯一）,完成任务NPC（游戏中唯一）,接取任务给予物品,任务名称,任务目标描述,任务追加描述,任务奖励金钱,任务奖励经验,任务奖励蓝钻,任务奖励魔力精华,任务奖励荣誉值,任务奖励体力,任务奖励活跃度,任务奖励公会贡献度,任务奖励物品,任务职业奖励物品,任务目标地图编号,任务目标场景编号,多任务场景ID(场景ID:场景ID:场景ID),任务所需物品,公会任务搜集物品,公会任务使用特定物品,公会任务购买特定物品,任务目标传送点,任务总次数,任务初始次数,完成需要蓝钻,是否特别显示,交付任务点击脚本函数,点击脚本函数,领取后有引导,完成后有引导,完成提示ID,功能提示字符串ID,特殊显示ID,赏金任务描述显示,ICON显示类型,任务次级类型,任务类型系数,随机重复次数,随机重复次数,任务等级范围,任务等级范围,赏金经验,赏金金币,赏金蓝钻,赏金魔力,赏金精灵口粮
10414,严苛训练3,,,,,,10415,10413,,,,,,,,,,0,0,0,,,,1,,,0,66,N_远征整备官,N_远征整备官,,55559,55560,,72500,84000,,,,,,,xingshi1:100:1:0:121,,5,5107,,,,,,,40,,,,,open_page_jingying_2,,,,,,,,,,,,,,,,,,
10415,严苛训练4,,,,,,10416,10414,,,,,,,,,,0,0,0,,,,1,,,0,66,N_远征整备官,N_远征整备官,,55561,55562,,72500,84000,,,,,,,shengmingjinghua:30:1:0:136,,6,6107,,,,,,,35,,,,,open_page_jingying_2,,,,,,,,,,,,,,,,,,
10416,严苛训练5,,,,,,10417,10415,,,,,,,,,,0,0,0,,,,1,,,0,66,N_远征整备官,N_远征整备官,,55563,55564,,72500,94500,,,,,,,xingshi1:100:1:0:121,,7,7107,,,,,,,30,,,,,open_page_jingying_2,,,,,,,,,,,,,,,,,,
10417,严苛训练6,,,,,,10418,10416,,,,,,,,,,0,0,0,,,,1,,,0,66,N_远征整备官,N_远征整备官,,55565,55566,,72500,94500,,,,,,,hunqicailiao_judu:50,,8,8107,,,,,,,25,,,,,open_page_jingying_2,,,,,,,,,,,,,,,,,,
10418,严苛训练7,,,,,,10500,10417,,,,,,,,,,0,0,0,,,,1,,,0,66,N_远征整备官,N_远征整备官,,55567,55568,,72500,94500,,,,,,,xingshi1:100:1:0:121,,9,9108,,,,,,,20,,,,,open_page_jingying_2,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10500,启程之前,,,,,,10501,10220,,,,,,,,,,1,1,0,,,,1,,,0,60,,N_远征整备官,,65260,65296,,25000,35000,,,,,,,,,0,1000,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
10501,水下呼吸,,,,,,10502,10500,,,,,,,,,,1,0,0,,,,1,,,0,60,N_远征整备官,N_任务法师,,65261,65297,,25000,35000,,,,,,,,,8,807,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
10502,魔法符文,9101:mofafuwen:1:3000@9101:mofafuwen:1:5000@9101:mofafuwen:1:10000@9102:mofafuwen:1:3000@9102:mofafuwen:1:5000@9102:mofafuwen:1:10000@9103:mofafuwen:1:3000@9103:mofafuwen:1:5000@9103:mofafuwen:1:10000@9104:mofafuwen:1:3000@9104:mofafuwen:1:5000@9104:mofafuwen:1:10000@9105:mofafuwen:1:3000@9105:mofafuwen:1:5000@9105:mofafuwen:1:10000@9106:mofafuwen:1:3000@9106:mofafuwen:1:5000@9106:mofafuwen:1:10000@9107:mofafuwen:1:3000@9107:mofafuwen:1:5000@9107:mofafuwen:1:10000,,mofafuwen:20,0,,10503,10501,,,,,,,,,,0,0,0,,,,1,,,0,60,N_任务法师,N_任务法师,,65262,65298,65410,35000,45000,,,,,,,,,8,9101,,,,,,N_副本传送点9,20,,,,,,,,,,,,,,,,,,,,,,,
10503,海底再见,,,,,,10504,10502,,,,,,,,,,1,0,0,,,,1,,,0,60,N_任务法师,N_塞西利亚(磷光海域),,65263,65299,,25000,35000,,,,,,,,,10,809,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
10504,海中杀手,,,,,,10505,10503,,,,,,,,,,0,0,0,,,,1,,,0,60,N_塞西利亚(磷光海域),N_塞西利亚(磷光海域),,65264,65300,,35000,45000,,,,,,,,,10,10001,,,,,,N_副本传送点10,1,,,,,,,,,,,,,,,,,,,,,,,
10505,磷光之海,,,,,,10506,10504,,,,,,,,,,1,0,0,,,,1,,,0,60,N_塞西利亚(磷光海域),N_塞西利亚(磷光海域),,65265,65301,,25000,35000,,,,,,,,,10,809,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
10506,海底战士,,,,,,10507,10505,,,,,,,,,,0,0,0,,,,1,,,0,60,N_塞西利亚(磷光海域),N_塞西利亚(磷光海域),,65266,65302,,35000,45000,,,,,,,,,10,10002,,,,,,N_副本传送点10,1,,,,,,,,,,,,,,,,,,,,,,,
10507,光辉岁月,,,,,,10508,10506,,,,,,,,,,1,0,0,,,,1,,,0,60,N_塞西利亚(磷光海域),N_塞西利亚(磷光海域),,65267,65303,,25000,35000,,,,,,,,,10,809,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
10508,航线阴影,,,,,,10509,10507,,,,,,,,,,0,0,0,,,,1,,,0,60,N_塞西利亚(磷光海域),N_塞西利亚(磷光海域),,65268,65304,,35000,45000,,,,,,,,,10,10003,,,,,,N_副本传送点10,1,,,,,,,,,,,,,,,,,,,,,,,
10509,海怪传说,,,,,,10510,10508,,,,,,,,,,1,0,0,,,,1,,,0,60,N_塞西利亚(磷光海域),N_塞西利亚(磷光海域),,65269,65305,,25000,35000,,,,,,,,,10,809,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
10510,水手之歌,,,,,,10511,10509,,,,,,,,,,0,0,0,,,,1,,,0,60,N_塞西利亚(磷光海域),N_塞西利亚(磷光海域),,65270,65306,,35000,45000,,,,,,,,,10,10004,,,,,,N_副本传送点10,1,,,,,,,,,,,,,,,,,,,,,,,
10511,魔法防御,,,,,,10512,10510,,,,,,,,,,1,0,0,,,,1,,,0,60,N_塞西利亚(磷光海域),N_塞西利亚(磷光海域),,65271,65307,,25000,35000,,,,,,,,,10,809,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
10512,魔法人偶,10001:mofarenou:1:3000@10001:mofarenou:1:5000@10001:mofarenou:1:10000,,mofarenou:30,0,,10513,10511,,,,,,,,,,0,0,0,,,,1,,,0,60,N_塞西利亚(磷光海域),N_塞西利亚(磷光海域),,65272,65308,65411,35000,45000,,,,,,,,,10,10001,,,,,,N_副本传送点10,30,,,,,,,,,,,,,,,,,,,,,,,
10513,海之幻影,,,,,,10514,10512,,,,,,,,,,0,0,0,,,,1,,,0,60,N_塞西利亚(磷光海域),N_塞西利亚(磷光海域),,65273,65309,,35000,45000,,,,,,,,,10,10005,,,,,,N_副本传送点10,1,,,,,,,,,,,,,,,,,,,,,,,
10514,生物研究,,,,,,10515,10513,,,,,,,,,,1,0,0,,,,1,,,0,60,N_塞西利亚(磷光海域),N_塞西利亚(磷光海域),,65274,65310,,25000,35000,,,,,,,,,10,809,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
10515,海产商人,,,,,,10516,10514,,,,,,,,,,1,0,0,,,,1,,,0,60,N_塞西利亚(磷光海域),N_海产商人(磷光海域),,65275,65311,,25000,35000,,,,,,,,,10,809,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
10516,捕猎老疤,,,,,1001004:10,10517,10515,,,,,,,,,,0,0,0,,,,1,,,0,60,N_海产商人(磷光海域),N_海产商人(磷光海域),,65276,65312,,35000,45000,,,,,,,,,10,10001,,,,,,N_副本传送点10,10,,,,,,,,,,,,,,,,,,,,,,,
10517,危险领域,,,,,,10518,10516,,,,,,,,,,0,0,0,,,,1,,,0,60,N_海产商人(磷光海域),N_海产商人(磷光海域),,65277,65313,,35000,45000,,,,,,,,,10,10006,,,,,,N_副本传送点10,1,,,,,,,,,,,,,,,,,,,,,,,
10518,唯利是图,,,,,,10519,10517,,,,,,,,,,1,0,0,,,,1,,,0,60,N_海产商人(磷光海域),N_海产商人(磷光海域),,65278,65314,,25000,35000,,,,,,,,,10,809,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
10519,继续赚钱,10002:daimao:1:3000@10002:daimao:1:5000@10002:daimao:1:10000,,daimao:20,0,,10520,10518,,,,,,,,,,0,0,0,,,,1,,,0,60,N_海产商人(磷光海域),N_海产商人(磷光海域),,65279,65315,65412,35000,45000,,,,,,,,,10,10002,,,,,,N_副本传送点10,20,,,,,,,,,,,,,,,,,,,,,,,
10520,海之槛歌,,,,,,10521,10519,,,,,,,,,,0,0,0,,,,1,,,0,60,N_海产商人(磷光海域),N_海产商人(磷光海域),,65280,65316,,35000,45000,,,,,,,,,10,10007,,,,,,N_副本传送点10,1,,,,,,,,,,,,,,,,,,,,,,,
10521,生态平衡,,,,,,10522,10520,,,,,,,,,,1,0,0,,,,1,,,0,60,N_塞西利亚(磷光海域),N_塞西利亚(磷光海域),,65281,65317,,25000,35000,,,,,,,,,10,809,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
10522,海底清洁,,,,,,10523,10521,,,,,,,,,,0,0,0,,,,1,,,0,60,N_塞西利亚(磷光海域),N_塞西利亚(磷光海域),,65282,65318,,35000,45000,,,,,,,,,10,10008,,,,,,N_副本传送点10,1,,,,,,,,,,,,,,,,,,,,,,,
10523,继续清洁,,,,,,10524,10522,,,,,,,,,,0,0,0,,,,1,,,0,60,N_塞西利亚(磷光海域),N_塞西利亚(磷光海域),,65283,65319,,35000,45000,,,,,,,,,10,10003,,,,,,N_副本传送点10,10,,,,,,,,,,,,,,,,,,,,,,,
10524,求救信号,,,,,,10525,10523,,,,,,,,,,1,0,0,,,,1,,,0,60,N_塞西利亚(磷光海域),N_海产商人(磷光海域),,65284,65320,,25000,35000,,,,,,,,,10,809,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
10525,危险警报,,,,,,10526,10524,,,,,,,,,,0,0,0,,,,1,,,0,60,N_海产商人(磷光海域),N_海产商人(磷光海域),,65285,65321,,35000,45000,,,,,,,,,10,10009,,,,,,N_副本传送点10,1,,,,,,,,,,,,,,,,,,,,,,,
10526,可怕信号,,,,,,10527,10525,,,,,,,,,,1,0,0,,,,1,,,0,60,N_塞西利亚(磷光海域),N_塞西利亚(磷光海域),,65286,65322,,25000,35000,,,,,,,,,10,809,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
10527,海盗传说,,,,,,10528,10526,,,,,,,,,,1,0,0,,,,1,,,0,60,N_塞西利亚(磷光海域),N_塞西利亚(磷光海域),,65287,65323,,25000,35000,,,,,,,,,10,809,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
10528,万全准备,,,,,,10534,10527,,,,,,,,,,1,0,0,,,,1,,,0,60,N_塞西利亚(磷光海域),N_塞西利亚(磷光海域),,65288,65324,,25000,35000,,,,,,,,,10,809,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
10529,增强实力1,,,,,,,,,,,,,,,,,0,1,0,,,1,1,,,0,60,,,,65289,65325,,35000,45000,,,,,,,,,10,10101,,,,,,N_副本传送点10,1,,,,,,,,,,,,,,,,,,,,,,,
10530,增强实力2,,,,,,,,,,,,,,,,,0,1,0,,,1,1,,,0,60,,,,65290,65326,,35000,45000,,,,,,,,,10,10102,,,,,,N_副本传送点10,1,,,,,,,,,,,,,,,,,,,,,,,
10531,增强实力3,,,,,,,,,,,,,,,,,0,1,0,,,1,1,,,0,60,,,,65291,65327,,35000,45000,,,,,,,,,10,10103,,,,,,N_副本传送点10,1,,,,,,,,,,,,,,,,,,,,,,,
10532,增强实力4,,,,,,,,,,,,,,,,,0,1,0,,,1,1,,,0,60,,,,65292,65328,,35000,45000,,,,,,,,,10,10104,,,,,,N_副本传送点10,1,,,,,,,,,,,,,,,,,,,,,,,
10533,增强实力5,,,,,,,,,,,,,,,,,0,1,0,,,1,1,,,0,60,,,,65293,65329,,35000,45000,,,,,,,,,10,10105,,,,,,N_副本传送点10,1,,,,,,,,,,,,,,,,,,,,,,,
10534,准备完毕,,,,,,10535,10528,,,,,,,,,,1,0,0,,,,1,,,0,60,N_塞西利亚(磷光海域),N_塞西利亚(磷光海域),,65294,65330,,25000,35000,,,,,,,,,10,809,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
10535,海盗船长,,,,,,11000,10534,,,,,,,,,,0,0,0,,,,1,,,0,60,N_塞西利亚(磷光海域),N_塞西利亚(磷光海域),,65295,65331,,35000,45000,,,,,,,,,10,10010,,,,,,N_副本传送点10,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11000,人鱼王国,,,,,,11001,10535,,,,,,,,,,1,1,0,,,,1,,,0,60,,N_城主(人鱼王国),,65332,65371,,25000,35000,,,,,,,,,11,810,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
11001,亲自拜访,,,,,,11002,11000,,,,,,,,,,1,0,0,,,,1,,,0,60,N_城主(人鱼王国),N_城主(人鱼王国),,65333,65372,,25000,35000,,,,,,,,,11,810,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
11002,初步试探,,,,,,11003,11001,,,,,,,,,,0,0,0,,,,1,,,0,60,N_城主(人鱼王国),N_城主(人鱼王国),,65334,65373,,35000,45000,,,,,,,,,11,11001,,,,,,N_副本传送点11,1,,,,,,,,,,,,,,,,,,,,,,,
11003,不明所以,,,,,,11004,11002,,,,,,,,,,1,0,0,,,,1,,,0,60,N_城主(人鱼王国),N_城主(人鱼王国),,65335,65374,,25000,35000,,,,,,,,,11,810,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
11004,深海之战,,,,,,11005,11003,,,,,,,,,,0,0,0,,,,1,,,0,60,N_城主(人鱼王国),N_城主(人鱼王国),,65336,65375,,35000,45000,,,,,,,,,11,11002,,,,,,N_副本传送点11,1,,,,,,,,,,,,,,,,,,,,,,,
11005,作战部署,,,,,,11006,11004,,,,,,,,,,1,0,0,,,,1,,,0,60,N_城主(人鱼王国),N_城主(人鱼王国),,65337,65376,,25000,35000,,,,,,,,,11,810,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
11006,迷途羔羊,,,,,,11012,11005,,,,,,,,,,1,0,0,,,,1,,,0,60,N_城主(人鱼王国),N_城主(人鱼王国),,65338,65377,,25000,35000,,,,,,,,,11,810,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
11007,迷途之人1,,,,,,,,,,,,,,,,,0,1,0,,,1,1,,,0,60,,,,65339,65378,,35000,45000,,,,,,,,,10,10106,,,,,,N_副本传送点10,1,,,,,,,,,,,,,,,,,,,,,,,
11008,迷途之人2,,,,,,,,,,,,,,,,,0,1,0,,,1,1,,,0,60,,,,65340,65379,,35000,45000,,,,,,,,,10,10107,,,,,,N_副本传送点10,1,,,,,,,,,,,,,,,,,,,,,,,
11009,迷途之人3,,,,,,,,,,,,,,,,,0,1,0,,,1,1,,,0,60,,,,65341,65380,,35000,45000,,,,,,,,,10,10108,,,,,,N_副本传送点10,1,,,,,,,,,,,,,,,,,,,,,,,
11010,迷途之人4,,,,,,,,,,,,,,,,,0,1,0,,,1,1,,,0,60,,,,65342,65381,,35000,45000,,,,,,,,,10,10109,,,,,,N_副本传送点10,1,,,,,,,,,,,,,,,,,,,,,,,
11011,迷途之人5,,,,,,,,,,,,,,,,,0,1,0,,,1,1,,,0,60,,,,65343,65382,,35000,45000,,,,,,,,,10,10110,,,,,,N_副本传送点10,1,,,,,,,,,,,,,,,,,,,,,,,
11012,人鱼传说,,,,,,11013,11006,,,,,,,,,,0,1,0,,,,1,,,0,60,,N_人鱼霍顿(人鱼王国),,65344,65383,,35000,45000,,,,,,,,,11,11003,,,,,,N_副本传送点11,1,,,,,,,,,,,,,,,,,,,,,,,
11013,王国变故,,,,,,11014,11012,,,,,,,,,,1,0,0,,,,1,,,0,60,N_人鱼霍顿(人鱼王国),N_人鱼霍顿(人鱼王国),,65345,65384,,25000,35000,,,,,,,,,11,810,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
11014,深海巨怪,,,,,,11015,11013,,,,,,,,,,0,0,0,,,,1,,,0,60,N_人鱼霍顿(人鱼王国),N_人鱼霍顿(人鱼王国),,65346,65385,,35000,45000,,,,,,,,,11,11004,,,,,,N_副本传送点11,1,,,,,,,,,,,,,,,,,,,,,,,
11015,故国风雨,,,,,,11016,11014,,,,,,,,,,1,0,0,,,,1,,,0,60,N_人鱼霍顿(人鱼王国),N_人鱼霍顿(人鱼王国),,65347,65386,,25000,35000,,,,,,,,,11,810,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
11016,迷海女巫,,,,,,11017,11015,,,,,,,,,,0,0,0,,,,1,,,0,60,N_人鱼霍顿(人鱼王国),N_人鱼霍顿(人鱼王国),,65348,65387,,35000,45000,,,,,,,,,11,11005,,,,,,N_副本传送点11,1,,,,,,,,,,,,,,,,,,,,,,,
11017,古代秘宝,,,,,,11018,11016,,,,,,,,,,1,0,0,,,,1,,,0,60,N_城主(人鱼王国),N_城主(人鱼王国),,65349,65388,,25000,35000,,,,,,,,,11,810,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
11018,搜寻,11001:jinianwenshu:1:3000@11001:jinianwenshu:1:5000@11001:jinianwenshu:1:10000,,jinianwenshu:20,0,,11019,11017,,,,,,,,,,0,0,0,,,,1,,,0,60,N_城主(人鱼王国),N_城主(人鱼王国),,65350,65389,65413,35000,45000,,,,,,,,,11,11001,,,,,,N_副本传送点11,20,,,,,,,,,,,,,,,,,,,,,,,
11019,愤怒,,,,,1002006:10,11020,11018,,,,,,,,,,0,0,0,,,,1,,,0,60,N_人鱼霍顿(人鱼王国),N_人鱼霍顿(人鱼王国),,65351,65390,,35000,45000,,,,,,,,,11,10002,,,,,,N_副本传送点10,10,,,,,,,,,,,,,,,,,,,,,,,
11020,疑惑,,,,,,11021,11019,,,,,,,,,,1,0,0,,,,1,,,0,60,N_城主(人鱼王国),N_城主(人鱼王国),,65352,65391,,25000,35000,,,,,,,,,11,810,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
11021,回忆,,,,,,11022,11020,,,,,,,,,,1,1,0,,,,1,,,0,60,,N_人鱼霍顿(人鱼王国),,65353,65392,,25000,35000,,,,,,,,,11,810,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
11022,救赎,11003:renyukouliang:1:3000@11003:renyukouliang:1:5000@11003:renyukouliang:1:10000,,renyukouliang:20,0,,11023,11021,,,,,,,,,,0,0,0,,,,1,,,0,60,N_人鱼霍顿(人鱼王国),N_人鱼霍顿(人鱼王国),,65354,65393,65414,35000,45000,,,,,,,,,11,11003,,,,,,N_副本传送点11,20,,,,,,,,,,,,,,,,,,,,,,,
11023,安息,11004:haizhihua:1:3000@11004:haizhihua:1:5000@11004:haizhihua:1:10000,,haizhihua:18,0,,11024,11022,,,,,,,,,,0,0,0,,,,1,,,0,60,N_人鱼霍顿(人鱼王国),N_人鱼霍顿(人鱼王国),,65355,65394,65415,35000,45000,,,,,,,,,11,11004,,,,,,N_副本传送点11,18,,,,,,,,,,,,,,,,,,,,,,,
11024,誓言,,,,,,11025,11023,,,,,,,,,,1,0,0,,,,1,,,0,60,N_人鱼霍顿(人鱼王国),N_人鱼霍顿(人鱼王国),,65356,65395,,25000,35000,,,,,,,,,11,810,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
11025,异域之师,,,,,,11026,11024,,,,,,,,,,0,0,0,,,,1,,,0,60,N_城主(人鱼王国),N_城主(人鱼王国),,65357,65396,,35000,45000,,,,,,,,,11,11006,,,,,,N_副本传送点11,1,,,,,,,,,,,,,,,,,,,,,,,
11026,想起来了,,,,,,11027,11025,,,,,,,,,,1,0,0,,,,1,,,0,60,N_人鱼霍顿(人鱼王国),N_人鱼霍顿(人鱼王国),,65358,65397,,25000,35000,,,,,,,,,11,810,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
11027,敌军首领,,,,,,11028,11026,,,,,,,,,,0,0,0,,,,1,,,0,60,N_人鱼霍顿(人鱼王国),N_人鱼霍顿(人鱼王国),,65359,65398,,35000,45000,,,,,,,,,11,11007,,,,,,N_副本传送点11,1,,,,,,,,,,,,,,,,,,,,,,,
11028,意料之外,,,,,,11029,11027,,,,,,,,,,1,0,0,,,,1,,,0,60,N_城主(人鱼王国),N_城主(人鱼王国),,65360,65399,,25000,35000,,,,,,,,,11,810,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
11029,最强防御,,,,,,11030,11028,,,,,,,,,,0,0,0,,,,1,,,0,60,N_人鱼霍顿(人鱼王国),N_人鱼霍顿(人鱼王国),,65361,65400,,35000,45000,,,,,,,,,11,11008,,,,,,N_副本传送点11,1,,,,,,,,,,,,,,,,,,,,,,,
11030,凝望深渊,,,,,,11031,11029,,,,,,,,,,1,0,0,,,1,1,,,0,60,N_人鱼霍顿(人鱼王国),N_人鱼霍顿(人鱼王国),,65362,65401,,25000,35000,,,,,,,,,11,810,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
11031,与水共生,,,,,,11032,11030,,,,,,,,,,0,0,0,,,,1,,,0,60,N_人鱼霍顿(人鱼王国),N_人鱼霍顿(人鱼王国),,65363,65402,,35000,45000,,,,,,,,,11,11009,,,,,,N_副本传送点11,1,,,,,,,,,,,,,,,,,,,,,,,
11032,不寒而栗,,,,,,11038,11031,,,,,,,,,,1,0,0,,,,1,,,0,60,N_城主(人鱼王国),N_城主(人鱼王国),,65364,65403,,25000,35000,,,,,,,,,11,810,,,,,,N_战前传送阵,1,,,,,,,,,,,,,,,,,,,,,,,
11033,终战之前1,,,,,,,,,,,,,,,,,0,1,0,,,1,1,,,0,60,,,,65365,65404,,35000,45000,,,,,,,,,11,11101,,,,,,N_副本传送点11,1,,,,,,,,,,,,,,,,,,,,,,,
11034,终战之前2,,,,,,,,,,,,,,,,,0,1,0,,,1,1,,,0,60,,,,65366,65405,,35000,45000,,,,,,,,,11,11102,,,,,,N_副本传送点11,1,,,,,,,,,,,,,,,,,,,,,,,
11035,终战之前3,,,,,,,,,,,,,,,,,0,1,0,,,1,1,,,0,60,,,,65367,65406,,35000,45000,,,,,,,,,11,11103,,,,,,N_副本传送点11,1,,,,,,,,,,,,,,,,,,,,,,,
11036,终战之前4,,,,,,,,,,,,,,,,,0,1,0,,,1,1,,,0,60,,,,65368,65407,,35000,45000,,,,,,,,,11,11104,,,,,,N_副本传送点11,1,,,,,,,,,,,,,,,,,,,,,,,
11037,终战之前5,,,,,,,,,,,,,,,,,0,1,0,,,1,1,,,0,60,,,,65369,65408,,35000,45000,,,,,,,,,11,11105,,,,,,N_副本传送点11,1,,,,,,,,,,,,,,,,,,,,,,,
11038,歼灭之战,,,,,,12000,11032,,,,,,,,,,0,0,0,,,,1,,,0,60,N_城主(人鱼王国),N_城主(人鱼王国),,65370,65409,,35000,45000,,,,,,,,,11,11010,,,,,,N_副本传送点11,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12000,原地休息,,,,,,,11038,,,,,,,,,,0,0,0,,,,1,,,0,60,N_城主(人鱼王国),,,65694,65695,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100000,寻找导师,,,,,,,,,,,,,,,1,,1,0,0,30,1,,2,,,0,35,,导师,,52988,52989,,5000,5000,,,,,,,,,0,1113,,,,,,N_主城进导师,1,,,,,,,,,,,,,,,,,,,,,,,
100001,导师试炼,,,,,,,,,,,,,,,1,,0,0,0,30,1,,2,,,0,35,导师,导师,,52990,52991,,5000,5000,,,,,,,,,0,1113,,,,,,导师,1,,,,,,,,,,,,,,,,,,,,,,,
100002,职业晋级,,,,,,,,,,,,,,,1,,1,0,0,30,1,,2,,,0,35,导师,N_城主艾里克斯,,52992,52993,,5000,5000,,,,,,,xingshi:50@,,0,1000,,,,,,N_导师出主城,1,,,,,,,,,,,,,,,,,,,,,,,
100003,完成转职,,,,,,,,,,,,,,,1,,0,1,0,120,1,,2,,,0,35,,导师,,50330,50331,,5000,5000,,,,,,,,,0,1113,,,,,,N_主城进导师,1,,,,,task_100003_ontouch,,,,,,,,,,,,,,,,,,
100005,转职试炼1,,,,,,100006,6017,,,,,,,,,,0,1,0,150,1,1,2,,,0,39,,,,51067,51068,,10000,10000,,,,,,,,,,,,,,,,,1,,,,,open_page_help_bianqiang,,,,,,,,,,,,,,,,,,
100006,转职试炼2,,,,,,100004,100005,,,,,,,,,,0,1,0,150,1,1,2,,,0,39,,,,51067,51069,,10000,10000,,,,,,,,,,,,,,,,,1,,,,,open_page_help_shengji,,,,,,,,,,,,,,,,,,
100004,转职试炼3,,,,,,,100006,,,,,,,,,,0,0,0,150,1,,2,,,0,39,导师,导师,,51067,51070,,10000,10000,,,,,,,,,0,1113,,,,,,导师,1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100007,装备升品,,,,,,,6003,,,,,,,,,,0,1,0,100,1,1,2,,,0,29,,,,52025,52026,,10000,10000,,,,,,,,,,,,,,,,,1,,,,,open_page_beibao,,,,,,,,,,,,,,,,,,
100008,精灵重生,,,,,,,6010,,,,,,,,,,0,1,0,100,1,1,2,,,0,29,,,,52027,52028,,10000,10000,,,,,,,,,,,,,,,,,1,,,,,guide_openspiritpage,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110000,精灵培养1,,,,,,110001,4016,,,,,,,,,,0,1,0,70,1,1,2,,,0,25,,,,51024,51025,,6000,6000,,,,,,,,,,,,,,,,,1,,,,,guide_openspiritpage,,,,,,,,,,,,,,,,,,
